customerID,tenure,Contract,MonthlyCharges,TechSupport,churn_risk_score
5150-ITWWB,3,Month-to-month,94.85,No,0.7831523636095059
2545-EBUPK,2,Month-to-month,84.05,No,0.781678646848421
0021-IKXGC,1,Month-to-month,72.1,No,0.7813864642930494
3878-AVSOQ,1,Month-to-month,71.25,No,0.7810519225363941
9605-WGJVW,1,Month-to-month,70.2,No,0.7806381566250143
9603-OAIHC,1,Month-to-month,70.05,No,0.7805790013375686
6350-XFYGW,4,Month-to-month,94.75,No,0.7780140442001001
2880-FPNAE,2,Month-to-month,74.2,No,0.7761566447026613
9799-CAYJJ,2,Month-to-month,69.3,No,0.7750344313772549
6630-UJZMY,4,Month-to-month,83.25,No,0.7686864367321281
1251-STYSZ,4,Month-to-month,80.25,No,0.7673931657883051
4395-PZMSN,5,Month-to-month,85.55,No,0.7648394699475874
1197-BVMVG,4,Month-to-month,74.45,No,0.7648393049624047
4847-TAJYI,6,Month-to-month,89.35,No,0.7642729976878674
8242-SOQUO,5,Month-to-month,84.7,No,0.7637773298567501
0644-OQMDK,4,Month-to-month,70.65,No,0.7634120895407948
7044-YAACC,4,Month-to-month,70.2,No,0.7626112013567343
6229-LSCKB,6,Month-to-month,79.7,No,0.7573649459161498
0187-QSXOE,7,Month-to-month,89.0,No,0.7563918829600791
9957-YODKZ,6,Month-to-month,80.8,No,0.7558396922024341
